Mac nameDiff Lat,Diff Lon,Diff Alt,
00:0d:f0:3e:fa:ca,0.0,0.0,0.0,
00:0e:f4:c1:50:14,0.0,0.0,0.0,
00:11:6b:11:02:b7,7.879642136003895E-4,2.457531858368611E-4,9.359921724308947,
00:11:6b:2a:90:3c,0.0,7.105427357601002E-15,1.1368683772161603E-13,
00:12:2a:39:2c:3c,0.0,0.0,0.0,
00:1a:dd:e3:06:e4,6.59289177917799E-7,1.0529300524808605E-5,0.11268952925240683,
00:1a:dd:f4:ef:04,7.105427357601002E-15,7.105427357601002E-15,0.0,
00:1a:dd:f4:fc:85,4.05383649528801E-4,9.188872481402655E-4,1.1014354569225588,
00:1a:dd:f5:e9:24,0.0,0.0,1.1368683772161603E-13,
00:1a:dd:f5:e9:25,3.319923692330917E-4,2.482761165296665E-4,0.5048200795940829,
00:1d:aa:81:d8:3c,6.410055206629295E-5,1.333167627493026E-4,1.6188321966648118,
00:21:04:4c:2a:a2,0.0,0.0,0.0,
00:25:86:cc:00:f8,7.105427357601002E-15,7.105427357601002E-15,1.1368683772161603E-13,
00:25:86:cc:07:b2,0.0,0.0,0.0,
00:27:19:13:fc:a4,0.0,7.105427357601002E-15,1.1368683772161603E-13,
00:27:19:e3:2d:fe,0.0,0.0,0.0,
00:8c:54:90:ce:d1,0.0,0.0,0.0,
06:ae:db:3a:64:05,0.0,0.0,0.0,
08:97:58:32:a6:3e,0.0,0.0,0.0,
08:ed:b9:3d:8f:4b,0.0,0.0,0.0,
10:0d:7f:7c:90:0a,0.0,0.0,0.0,
10:be:f5:36:02:e2,0.0,0.0,0.0,
10:be:f5:39:8f:f2,0.0,0.0,0.0,
10:be:f5:3b:68:2c,0.0,0.0,0.0,
10:be:f5:a7:b4:f4,0.0,0.0,0.0,
14:ae:db:32:52:12,0.0,0.0,0.0,
14:ae:db:3a:64:05,0.0,0.0,0.0,
14:ae:db:43:88:35,0.0,0.0,0.0,
14:ae:db:4f:50:75,0.0,0.0,0.0,
14:ae:db:58:0d:6d,0.0,0.0,0.0,
14:ae:db:cb:05:f5,0.0,0.0,0.0,
14:ae:db:cf:86:f5,0.0,0.0,0.0,
1c:b9:c4:16:cd:18,0.0012751807321436104,0.0011507367011915903,6.521387535512645,
30:e1:71:0d:e0:63,3.929725587425992E-5,1.607053574517181E-4,4.483546056284013,
30:e1:71:0d:e0:65,0.0,0.0,0.0,
30:e1:71:0d:e0:67,0.0,0.0,0.0,
30:e1:71:0f:a2:49,7.105427357601002E-15,7.105427357601002E-15,1.1368683772161603E-13,
30:e1:71:0f:a2:72,0.0,0.0,0.0,
30:e1:71:0f:b2:6a,0.0,0.0,0.0,
38:a2:8c:02:e7:6e,0.0,0.0,0.0,
3c:1e:04:05:5f:f5,0.0,0.0,0.0,
3c:52:82:ef:a4:8b,7.105427357601002E-15,0.0,0.0,
3c:52:82:ef:c4:3c,7.105427357601002E-15,7.105427357601002E-15,1.1368683772161603E-13,
3c:52:82:ef:d4:52,0.0,0.0,0.0,
3c:52:82:ef:d4:56,0.0,0.0,0.0,
40:a5:ef:7a:17:f2,3.4122726255247926E-4,3.868182072110926E-4,2.1467248884174523,
48:ee:0c:3e:86:dd,0.0,0.0,0.0,
58:70:c6:00:d0:f1,0.0,0.0,0.0,
58:70:c6:fb:68:7a,0.0,0.0,0.0,
58:70:c6:fb:96:30,0.0,0.0,0.0,
62:ab:1b:60:b4:cb,1.2262886940561657E-5,5.267479267700992E-5,0.054100296885508214,
70:5a:0f:57:04:17,0.0,0.0,0.0,
70:5a:0f:57:42:43,0.0,0.0,0.0,
74:ea:3a:ad:d1:50,1.0638079366032116E-4,1.7593967278628497E-5,0.6004906570009325,
7e:ff:30:08:7f:bd,0.0,0.0,0.0,
80:37:73:d7:ab:3a,0.0,0.0,0.0,
84:c9:b2:4a:e7:87,0.0,0.0,0.0,
84:c9:b2:b7:c8:2d,0.0,7.105427357601002E-15,0.0,
90:6c:ac:9f:f1:c5,0.0,0.0,0.0,
90:6c:ac:a0:7b:4d,1.4072572362522351E-5,1.5160269169456342E-4,7.761416608349805,
90:8d:78:54:6b:4d,0.0,0.0,0.0,
9c:d2:1e:04:e6:2c,0.0,0.0,0.0,
a0:4f:d4:3a:a0:e1,0.0,0.0,0.0,
a0:4f:d4:3b:e9:01,0.0,0.0,0.0,
a0:4f:d4:46:a9:e1,0.0,0.0,0.0,
a0:8c:fd:0a:24:56,5.279042861872085E-5,4.751860716112333E-5,0.4868014212123626,
a0:8c:fd:0a:d5:f5,7.218369650274781E-5,7.048385775476618E-6,4.3220854373063275,
a0:8c:fd:8c:79:6f,0.0,0.0,0.0,
a0:8c:fd:8c:c5:b2,0.0,0.0,0.0,
a0:ab:1b:59:55:54,0.0,0.0,0.0,
a0:ab:1b:60:b4:ca,2.5578294852834915E-5,4.876377175833113E-5,0.6103040330942804,
a2:6c:ac:9f:fb:1f,2.6580279325116862E-5,2.6430537864996495E-5,0.42504317695693317,
a2:6c:ac:a0:18:29,0.0,0.0,1.1368683772161603E-13,
a2:6c:ac:a0:3d:eb,3.9672091044451463E-4,1.1401173987479751E-4,0.27713192848557355,
a2:6c:ac:a0:60:4d,6.367175478061426E-5,4.47455297987176E-5,7.263540655243219,
a2:6c:ac:a0:7b:4d,1.676741485781008E-4,1.5672349142903386E-4,1.78399623045334,
a4:08:f5:20:72:6a,0.0,0.0,0.0,
ac:83:f3:b2:00:e9,0.0,0.0,0.0,
b0:48:7a:a1:80:8c,0.0,0.0,0.0,
b2:6c:ac:9f:f1:c5,0.0,0.0,0.0,
b2:6c:ac:9f:fb:1f,5.4851703360725423E-5,8.75441576653202E-6,2.644153532783207,
b2:6c:ac:a0:18:29,0.0,0.0,0.0,
b2:6c:ac:a0:3d:eb,5.604445422022764E-4,3.4600042683052834E-4,9.376498469306853,
b2:6c:ac:a0:7b:4d,8.762904798942373E-5,9.79176811242155E-5,10.52479324182923,
c0:4a:00:71:ee:ee,0.0,0.0,0.0,
c0:bd:d1:d5:8c:55,0.0,0.0,0.0,
c2:6c:ac:9f:fb:1f,7.023852127474584E-5,9.275198831915077E-5,0.5299962249993087,
c2:6c:ac:a0:7b:4d,3.7601349844607057E-4,3.659510826565793E-4,0.18304853903407547,
c4:12:f5:f6:a0:18,4.263558015225044E-4,8.85258608178674E-5,1.0165405438893913,
c4:12:f5:fd:6a:74,0.0,0.0,0.0,
c8:be:19:07:77:b9,0.0,0.0,0.0,
